
  ROL::Problem::finalize
    Problem Summary:
      Has Bound Constraint? .............. yes
      Has Equality Constraint? ........... no
      Has Inequality Constraint? ......... no
      Has Linear Equality Constraint? .... yes
        Names: ........................... Equality Linear Constraint 0
        Total: ........................... 1
      Has Linear Inequality Constraint? .. no


Lin-More Trust-Region Method (Type B, Bound Constraints)
  iter  value          gnorm          snorm          delta          #fval     #grad     #hess     #proj     tr_flag   
  0     1.212863e+01   3.302705e+00   ---            1.500000e+01   1         1         0         2         ---       
  1     5.917604e+00   2.849115e+00   9.378193e+00   1.500000e+01   2         2         1         6         0         
  2     3.500235e+00   7.579025e-01   7.523714e+00   1.500000e+01   3         3         2         10        0         
  3     2.117213e+00   5.636667e-01   9.612994e+00   1.500000e+01   4         4         4         15        0         
  4     2.117213e+00   5.636667e-01   1.295357e+01   9.715179e+00   5         4         6         19        2         
  5     1.435962e+00   1.237912e-01   7.552276e+00   9.715179e+00   6         5         7         23        0         
  6     1.157931e+00   1.253032e-01   7.501442e+00   9.715179e+00   7         6         9         28        0         
  7     1.157931e+00   1.253032e-01   7.188532e+00   5.391399e+00   8         6         10        31        2         
  8     1.084896e+00   5.979159e-02   5.006951e+00   5.391399e+00   9         7         11        34        0         
  9     1.004562e+00   2.366039e-02   2.043163e+00   5.391399e+00   10        8         12        38        0         
  10    1.004562e+00   2.366039e-02   4.143902e+00   3.107927e+00   11        8         14        42        2         
  11    9.760331e-01   2.365055e-02   2.372060e+00   3.107927e+00   12        9         15        45        0         
  12    9.688170e-01   2.323867e-02   2.319503e+00   3.107927e+00   13        10        16        49        0         
  13    9.564712e-01   2.240263e-02   2.525743e+00   3.107927e+00   14        11        17        53        0         
  14    9.444606e-01   1.395331e-02   1.990373e+00   3.107927e+00   15        12        18        57        0         
  15    9.373700e-01   1.157490e-02   1.537564e+00   3.107927e+00   16        13        19        61        0         
  16    9.312566e-01   7.255090e-03   1.106605e+00   3.107927e+00   17        14        20        65        0         
  17    9.312566e-01   7.255090e-03   2.955259e+00   2.216444e+00   18        14        22        69        2         
  18    9.283059e-01   1.007569e-02   1.774088e+00   2.216444e+00   19        15        23        72        0         
  19    9.221818e-01   5.995446e-03   1.313769e+00   2.216444e+00   20        16        24        75        0         
  20    9.195325e-01   4.738411e-03   8.216552e-01   2.216444e+00   21        17        25        79        0         
Optimization Terminated with Status: Iteration Limit Exceeded
