
  ROL::Problem::finalize
    Problem Summary:
      Has Bound Constraint? .............. yes
      Has Equality Constraint? ........... no
      Has Inequality Constraint? ......... no
      Has Linear Equality Constraint? .... yes
        Names: ........................... Equality Linear Constraint 0
        Total: ........................... 1
      Has Linear Inequality Constraint? .. no


Lin-More Trust-Region Method (Type B, Bound Constraints)
  iter  value          gnorm          snorm          delta          #fval     #grad     #hess     #proj     tr_flag   
  0     1.376308e-01   3.396417e-02   ---            1.500000e+01   1         1         0         2         ---       
  1     8.520236e-02   1.809883e-02   1.057656e+01   1.500000e+01   2         2         4         9         0         
  2     5.204087e-02   6.334194e-03   6.457727e+00   1.500000e+01   3         3         5         13        0         
  3     3.644656e-02   9.265870e-03   1.041068e+01   1.500000e+01   4         4         7         18        0         
  4     3.352495e-02   4.679083e-03   1.056200e+01   1.500000e+01   5         5         8         22        0         
  5     2.247806e-02   1.605646e-03   6.781566e+00   1.500000e+01   6         6         9         26        0         
  6     2.234166e-02   4.509524e-03   9.396545e+00   1.500000e+01   7         7         11        31        0         
  7     2.234166e-02   4.509524e-03   1.062220e+01   7.966650e+00   8         7         12        34        2         
  8     1.848092e-02   1.015338e-03   6.408200e+00   7.966650e+00   9         8         13        38        0         
  9     1.755162e-02   2.326610e-03   6.921196e+00   7.966650e+00   10        9         15        43        0         
  10    1.722725e-02   1.032167e-03   6.148161e+00   7.966650e+00   11        10        16        46        0         
  11    1.549789e-02   3.403800e-04   4.092353e+00   7.966650e+00   12        11        17        50        0         
  12    1.549789e-02   3.403800e-04   5.895337e+00   4.421503e+00   13        11        19        54        2         
  13    1.510497e-02   4.817714e-04   3.629846e+00   4.421503e+00   14        12        20        57        0         
  14    1.493136e-02   4.902305e-04   3.231783e+00   4.421503e+00   15        13        21        61        0         
  15    1.493136e-02   4.902305e-04   3.944693e+00   2.958520e+00   16        13        22        64        2         
  16    1.474410e-02   3.237330e-04   2.601504e+00   2.958520e+00   17        14        23        67        0         
  17    1.450395e-02   1.570305e-04   1.672116e+00   2.958520e+00   18        15        24        71        0         
  18    1.440229e-02   1.132535e-04   9.801700e-01   2.958520e+00   19        16        25        75        0         
  19    1.420906e-02   1.610550e-04   2.943320e+00   2.958520e+00   20        17        27        80        0         
  20    1.411353e-02   1.101780e-04   2.028825e+00   2.958520e+00   21        18        28        83        0         
Optimization Terminated with Status: Iteration Limit Exceeded
