
  ROL::Problem::finalize
    Problem Summary:
      Has Bound Constraint? .............. yes
      Has Equality Constraint? ........... no
      Has Inequality Constraint? ......... no
      Has Linear Equality Constraint? .... yes
        Names: ........................... Equality Linear Constraint 0
        Total: ........................... 1
      Has Linear Inequality Constraint? .. no


Lin-More Trust-Region Method (Type B, Bound Constraints)
  iter  value          gnorm          snorm          delta          #fval     #grad     #hess     #proj     tr_flag   
  0     2.703369e+01   2.424101e+00   ---            1.500000e+01   1         1         0         2         ---       
  1     1.640768e+01   9.977915e-01   7.272302e+00   1.500000e+01   2         2         1         6         0         
  2     9.330835e+00   2.968953e-01   1.384707e+01   1.500000e+01   3         3         3         11        0         
  3     8.489509e+00   1.525076e-01   4.341878e+00   1.500000e+01   4         4         4         15        0         
  4     7.576536e+00   8.618688e-02   9.155160e+00   1.500000e+01   5         5         6         20        0         
  5     7.281039e+00   7.285920e-02   5.388532e+00   1.500000e+01   6         6         7         24        0         
  6     7.082916e+00   7.677665e-02   4.949915e+00   1.500000e+01   7         7         8         28        0         
  7     6.865615e+00   7.812606e-02   5.479443e+00   1.500000e+01   8         8         9         32        0         
  8     6.580384e+00   6.741324e-02   5.608354e+00   1.500000e+01   9         9         10        36        0         
  9     6.222054e+00   9.646589e-02   1.456390e+01   1.500000e+01   10        10        12        41        0         
  10    5.920892e+00   4.803921e-02   1.167159e+01   1.500000e+01   11        11        13        44        0         
  11    5.740631e+00   3.120530e-02   7.372943e+00   1.500000e+01   12        12        14        48        0         
  12    5.620894e+00   3.538705e-02   1.258414e+01   1.500000e+01   13        13        16        53        0         
  13    5.620894e+00   3.538705e-02   1.085093e+01   8.138199e+00   14        13        17        55        2         
  14    5.534301e+00   2.382331e-02   6.595899e+00   8.138199e+00   15        14        18        58        0         
  15    5.500757e+00   2.000098e-02   4.033350e+00   8.138199e+00   16        15        19        62        0         
  16    5.470352e+00   1.919771e-02   3.839401e+00   8.138199e+00   17        16        20        66        0         
  17    5.444886e+00   2.162120e-02   3.678850e+00   8.138199e+00   18        17        21        70        0         
  18    5.429644e+00   1.927106e-02   3.424505e+00   8.138199e+00   19        18        22        74        0         
